id,"nama_gelar",jenjang_id
1,"Ir",1
2,"M.Sc.",2
3,"Ph.D",3
4,"M.T",2
5,"Dr",3
6,"D.E.A",2
7,"S.T",1
8,"S.Kom",1
9,"M.Com",2
10,"Dra",1
11,"M.Eng",2
12,"Drs",1
13,"A.Md",4
14,"Dr.Eng",3
15,"",3
16,"B.Sc",1
17,"",2
18,"M.Si",2
19,"M.Kom",2
20,"S.Si",1
21,"Dr.",3
22,"M.S",2
23,"PhD",3
24,"M.I.T",2
25,"dr.",1
26,"M.T.I",2
27,"",1
28,"M.Cs",2
29,"",4
30,"",5
31,"S.E.",1
32,"M. Sc",2
33,"Doctor of Philosophy",3
34,"M.B.A",2
35,"M.Comp.Sc",2
36,"M.Sc.",1
37,"Prof",1
38,"M.Phil",2
39,"M.MT",2
40,"M.Sc.Eng",2
41,"Ph D",3
