"id","keahlian_id","programstudi_id"
1,1,2
2,2,2
3,3,2
4,4,2
5,5,2
6,6,2
7,7,2
8,8,2
9,9,2
10,2,3
11,3,3
12,4,3
13,5,3
14,8,3
15,9,3
16,10,3
17,1,4
18,2,4
19,3,4
20,4,4
21,5,4
22,6,4
23,7,4
24,8,4
25,9,4
26,1,5
27,2,5
28,3,5
29,4,5
30,5,5
31,6,5
32,7,5
33,8,5
34,9,5
35,10,5
36,1,6
37,2,6
38,3,6
39,4,6
40,5,6
41,6,6
42,7,6
43,8,6
44,9,6
45,10,6
46,1,7
47,2,7
48,3,7
49,4,7
50,5,7
51,6,7
52,7,7
53,8,7
54,9,7
55,2,8
56,3,8
57,4,8
58,5,8
59,8,8
60,9,8
61,1,9
62,2,9
63,3,9
64,4,9
65,5,9
66,6,9
67,7,9
68,8,9
69,9,9
70,1,10
71,2,10
72,3,10
73,4,10
74,5,10
75,6,10
76,7,10
77,8,10
78,9,10
79,1,11
80,2,11
81,3,11
82,4,11
83,5,11
84,6,11
85,7,11
86,8,11
87,9,11
88,1,12
89,2,12
90,3,12
91,4,12
92,5,12
93,6,12
94,7,12
95,8,12
96,9,12
